variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M102.1158T0.61	c18hypersil															M102T1.6	102.1157816	36.57449241		[M+2H]2+ 202.214	10	1	@M85.0892T0.61|+(NH3)|+NH3|@M102.6175T0.61|-13Cdb
M87.1002T1.25	c18hypersil															M87T1.6	87.10020283	74.90264619	[1][M+1]+		1	2	@M86.0969T1.25|+13C|@M133.1057T1.25|-(HCOOH)|-(H2O-CO)
M132T1.19_L.Isoleucine.Isoleucine..	c18hypersil	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:15604|CHEBI:15603|CHEBI:18347|CHEBI:16586	2	a,b	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Microbial Metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Microbial Metabolism|Miscellaneous	Isoleucine|Leucine|Others|Microbial Metabolism|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T1.19	132.1024596	75.01242981	[70][M]+	[M+Na+HCOOH]+ 63.1096	1	2	@M86.0969T1.25|+(HCOOH)|+(H2O-CO)|@M133.1057T1.25|-13C|@M134.1065T1.25|-18O|-13C2
M105.0039T0.66	c18hypersil															M105T1	105.0039105	39.55691659		[M+H]+ 103.999	10	3	@M86.9933T0.66|+(H2O)
M90.9773T0.72	c18hypersil															M91T1.2	90.97730064	43.3254216			4	4	@M132.0039T0.72|-(CH3CN)|-(C2H3N)
M93.6025T0.61	c18hypersil															M94T1	93.60254848	36.3250621	[15][M]2+	[M+2H-NH3]2+ 202.214	10	5	@M94.1042T0.58|-13Cdb
M94.0457T0.65	c18hypersil															M94T1.2	94.04573983	39.24387288	[16][M]2+		10	6	@M94.5465T0.65|-13Cdb|@M95.0444T0.65|-13C|-15N|@M130.0175T0.66|-(HCl)
M95.546T0.65	c18hypersil															M96T1.1	95.54602248	39.20434391	[16][M+3]2+		10	6	@M94.5465T0.65|+13C|+15N|@M95.0444T0.65|+13Cdb
M110.0094T0.66	c18hypersil															M110T1.3	110.0093784	39.51396738	[31][M]+	[M+Na]+ 87.0249	10	6	@M111.0101T0.66|-13C|-15N|@M112.0069T0.66|-34S|-41K|-37Cl|@M128.02T0.66|-(H2O)|@M151.036T0.66|-(CH3CN)|-(C2H3N)|@M154.0368T0.66|-(C2H4O)
M111.0101T0.66	c18hypersil															M111T1.1	111.0101482	39.51694321	[31][M+1]+		10	6	@M110.0094T0.66|+13C|+15N|@M112.0069T0.66|-15N|@M129.0207T0.66|-(H2O)|@M152.0369T0.66|-(CH3CN)|-(C2H3N)|@M153.0335T0.66|-(CH2N2)
